name,type,year,description,url,gender,organization,age,country,current_country
Rainer Weiss,physics,2017,for decisive contributions to the LIGO detector and the observation of gravitational waves,https://www.nobelprize.org/nobel_prizes/physics/laureates/2017/weiss-facts.html,male,FALSE,85,Germany,Germany
Barry C. Barish,physics,2017,for decisive contributions to the LIGO detector and the observation of gravitational waves,https://www.nobelprize.org/nobel_prizes/physics/laureates/2017/barish-facts.html,male,FALSE,81,USA,USA
Kip S. Thorne,physics,2017,for decisive contributions to the LIGO detector and the observation of gravitational waves,https://www.nobelprize.org/nobel_prizes/physics/laureates/2017/thorne-facts.html,male,FALSE,77,USA,USA
Jacques Dubochet,chemistry,2017,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2017/dubochet-facts.html,male,FALSE,75,Scotland,Scotland
Joachim Frank,chemistry,2017,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2017/frank-facts.html,male,FALSE,77,Germany,Germany
Richard Henderson,chemistry,2017,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2017/henderson-facts.html,male,FALSE,72,Switzerland,Switzerland
International Campaign to Abolish Nuclear Weapons (ICAN),peace,2017,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,https://www.nobelprize.org/nobel_prizes/peace/laureates/2017/aa-facts.html,org,TRUE,,,
Jeffrey C. Hall,medicine,2017,for their discoveries of molecular mechanisms controlling the circadian rhythm,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2017/hall-facts.html,male,FALSE,72,USA,USA
Michael Rosbash,medicine,2017,for their discoveries of molecular mechanisms controlling the circadian rhythm,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2017/rosbash-facts.html,male,FALSE,73,USA,USA
Michael W. Young,medicine,2017,for their discoveries of molecular mechanisms controlling the circadian rhythm,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2017/young-facts.html,male,FALSE,68,USA,USA
Kazuo Ishiguro,literature,2017,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",https://www.nobelprize.org/nobel_prizes/literature/laureates/2017/ishiguro-facts.html,male,FALSE,62,Japan,Japan
Bob Dylan,literature,2016,for having created new poetic expressions within the great American song tradition,https://www.nobelprize.org/nobel_prizes/literature/laureates/2016/dylan-facts.html,male,FALSE,75,USA,USA
Yoshinori Ohsumi,medicine,2016,for his discoveries of mechanisms for autophagy,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2016/ohsumi-facts.html,male,FALSE,71,Japan,Japan
Juan Manuel Santos,peace,2016,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,https://www.nobelprize.org/nobel_prizes/peace/laureates/2016/santos-facts.html,male,FALSE,65,Colombia,Colombia
Jean-Pierre Sauvage,chemistry,2016,for the design and synthesis of molecular machines,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2016/sauvage-facts.html,male,FALSE,72,France,France
Sir J. Fraser Stoddart,chemistry,2016,for the design and synthesis of molecular machines,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2016/stoddart-facts.html,male,FALSE,74,United Kingdom,United Kingdom
Bernard L. Feringa,chemistry,2016,for the design and synthesis of molecular machines,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2016/feringa-facts.html,male,FALSE,65,the Netherlands,the Netherlands
Oliver Hart,economics,2016,for their contributions to contract theory,https://www.nobelprize.org/nobel_prizes/economics/laureates/2016/hart-facts.html,male,FALSE,68,United Kingdom,United Kingdom
Bengt Holmstrom,economics,2016,for their contributions to contract theory,https://www.nobelprize.org/nobel_prizes/economics/laureates/2016/holmstrom-facts.html,male,FALSE,67,Finland,Finland
David J. Thouless,physics,2016,for theoretical discoveries of topological phase transitions and topological phases of matter,https://www.nobelprize.org/nobel_prizes/physics/laureates/2016/thouless-facts.html,male,FALSE,82,United Kingdom,United Kingdom
F. Duncan M. Haldane,physics,2016,for theoretical discoveries of topological phase transitions and topological phases of matter,https://www.nobelprize.org/nobel_prizes/physics/laureates/2016/haldane-facts.html,male,FALSE,65,United Kingdom,United Kingdom
J. Michael Kosterlitz,physics,2016,for theoretical discoveries of topological phase transitions and topological phases of matter,https://www.nobelprize.org/nobel_prizes/physics/laureates/2016/kosterlitz-facts.html,male,FALSE,73,United Kingdom,United Kingdom
Svetlana Alexievich,literature,2015,"for her polyphonic writings, a monument to suffering and courage in our time",https://www.nobelprize.org/nobel_prizes/literature/laureates/2015/alexievich-facts.html,female,FALSE,67,Ukraine,Ukraine
Angus Deaton,economics,2015,"for his analysis of consumption, poverty, and welfare",https://www.nobelprize.org/nobel_prizes/economics/laureates/2015/deaton-facts.html,male,FALSE,70,Scotland,Scotland
National Dialogue Quartet,peace,2015,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,https://www.nobelprize.org/nobel_prizes/peace/laureates/2015/tndq-facts.html,org,TRUE,,,
Tomas Lindahl,chemistry,2015,for mechanistic studies of DNA repair,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2015/lindahl-facts.html,male,FALSE,77,Sweden,Sweden
Paul Modrich,chemistry,2015,for mechanistic studies of DNA repair,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2015/modrich-facts.html,male,FALSE,69,USA,USA
Aziz Sancar,chemistry,2015,for mechanistic studies of DNA repair,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2015/sancar-facts.html,male,FALSE,69,Turkey,Turkey
Takaaki Kajita,physics,2015,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",https://www.nobelprize.org/nobel_prizes/physics/laureates/2015/kajita-facts.html,male,FALSE,56,Japan,Japan
Arthur B. McDonald,physics,2015,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",https://www.nobelprize.org/nobel_prizes/physics/laureates/2015/mcdonald-facts.html,male,FALSE,72,Canada,Canada
William C. Campbell,medicine,2015,for their discoveries concerning a novel therapy against infections caused by roundworm parasitesfor her discoveries concerning a novel therapy against Malaria,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2015/campbell-facts.html,male,FALSE,85,Ireland,Ireland
Satoshi Omura,medicine,2015,for their discoveries concerning a novel therapy against infections caused by roundworm parasitesfor her discoveries concerning a novel therapy against Malaria,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2015/omura-facts.html,male,FALSE,80,Japan,Japan
Youyou Tu,medicine,2015,for their discoveries concerning a novel therapy against infections caused by roundworm parasitesfor her discoveries concerning a novel therapy against Malaria,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2015/tu-facts.html,female,FALSE,85,China,China
